,Callsign,Tag,Number,IATA,ICAO
0,Dornier Aviation Nigeria Aiep,DO / DAV,3 ,DO , DAV
1,LATAM Airlines Ecuador,XL / LNE,6 ,XL , LNE
2,9 Air,AQ / JYH,8 ,AQ , JYH
3,ABX Air,GB / ABX,14 ,GB , ABX
4,Adria Airways,JP / ADR,13 ,JP , ADR
5,Aegean Airlines,A3 / AEE,48 ,A3 , AEE
6,Aer Lingus,EI / EIN,63 ,EI , EIN
7,Aero Contractors,NG / NIG,8 ,NG , NIG
8,Aero Vip,WV / RVP,7 ,WV , RVP
9,Aero-Dienst,ADN,16 ,,ADN
10,Aeroflot,SU / AFL,185 ,SU , AFL
11,Aerolineas Argentinas,AR / ARG,56 ,AR , ARG
12,Aerolineas Mas,N3 / MAF,3 ,N3 , MAF
13,AeroLogic,3S / BOX,9 ,3S , BOX
14,Aeromar,VW / TAO,14 ,VW , TAO
15,Aeromexico,AM / AMX,69 ,AM , AMX
16,Aeromexico Connect,5D / SLI,67 ,5D , SLI
17,Aeropostal,VH / ALV,6 ,VH , ALV
18,AeroUnion,6R / TNO,6 ,6R , TNO
19,Afric Aviation,L8 / EKG,1 ,L8 , EKG
20,Africa World Airlines,AW / AFW,3 ,AW , AFW
21,African Express Airways,XU / AXK,2 ,XU , AXK
22,Afriqiyah Airways,8U / AAW,5 ,8U , AAW
23,Aigle Azur,ZI / AAF,10 ,ZI , AAF
24,Air Algerie,AH / DAH,55 ,AH , DAH
25,Air Alsie,6I / MMD,27 ,6I , MMD
26,Air Antilles Express,3S / GUY,6 ,3S , GUY
27,Air Arabia,G9 / ABY,36 ,G9 , ABY
28,Air Arabia Egypt,E5 / RBG,1 ,E5 , RBG
29,Air Arabia Jordan,9P / JAD,3 ,9P , JAD
30,Air Arabia Maroc,3O / MAC,6 ,3O , MAC
31,Air Armenia,QN / ARR,2 ,QN , ARR
32,Air Astana,KC / KZR,30 ,KC , KZR
33,Air Atlanta Icelandic,CC / ABD,1 ,CC , ABD
34,Air Atlantique,7M / AAG,22 ,7M , AAG
35,Air Austral,UU / REU,10 ,UU , REU
36,Air Baltic,BT / BTI,24 ,BT , BTI
37,Air Berlin,AB / BER,129 ,AB , BER
38,Air Bishkek,KR / EAA,1 ,KR , EAA
39,Air Botswana,BP / BOT,6 ,BP , BOT
40,Air Bucharest,BUR,2 ,,BUR
41,Air Burkina,2J / VBW,2 ,2J , VBW
42,Air Busan,BX / ABL,19 ,BX , ABL
43,Air Cairo,SM / MSC,7 ,SM , MSC
44,Air Caledonie,TY / TPC,4 ,TY , TPC
45,Air Canada,AC / ACA,169 ,AC , ACA
46,Air Canada Rouge,RV / ROU,44 ,RV , ROU
47,Air Caraibes,TX / FWI,8 ,TX , FWI
48,Air Cargo Carriers,2Q / SNC,1 ,2Q , SNC
49,Air China,CA / CCA,371 ,CA , CCA
50,Air China Cargo,CAO,15 ,,CAO
51,Air Choice One,3E / WBR,6 ,3E , WBR
52,Air Corsica,XK / CCM,10 ,XK , CCM
53,Air Cote d'Ivoire,HF / VRE,8 ,HF , VRE
